44,89,12
27,39,2
91,10,47
11,2,3
18,55,11
41,28,26
17,47,73
62,12,91
15,50,91
82,90,84
23,55,40
79,79,20
70,61,63
10,12,53
95,22,35
66,89,40
82,90,32
90,41,27
72,9,8
81,55,89
13,81,6
67,76,47
9,22,44
53,97,58
47,88,91
54,32,44
40,27,98
14,23,21
59,89,33
36,75,16
28,20,32
29,86,32
78,13,66
89,27,65
94,87,71
94,56,74
11,20,94
10,87,27
84,40,99
17,56,83
65,4,99
20,74,68
73,53,19
84,25,61
66,30,14
5,32,12
53,5,16
27,85,48
8,23,10
43,21,30
72,8,88
70,68,49
37,91,72
18,48,90
96,68,93
11,55,91
36,73,46
24,10,59
58,51,23
41,98,88
95,40,42
45,37,53
73,99,32
54,51,53
98,30,27
48,78,100
64,3,44
54,67,69
1,85,86
75,92,19
70,72,37
41,68,73
98,34,18
80,26,84
64,46,95
60,27,12
8,63,13
11,2,64
24,70,79
51,66,100
95,57,90
19,25,94
46,12,74
49,39,47
10,46,27
37,3,56
98,43,68
88,79,33
94,64,89
51,57,9
52,57,32
100,8,20
51,37,53
61,38,64
4,20,65
91,14,15
45,100,82
21,59,4
45,48,85
55,97,1
